title,author
数字化生存,（美）Nicholas Negroponte（尼古拉·尼葛洛庞帝）
码农翻身,刘欣
程序是怎样跑起来的,[日] 矢泽久雄
时间之箭,[英] 彼得·柯文尼
无声的证词,法医秦明
宇宙的琴弦,[美] 布赖恩·格林
可怕的对称,荀坤
谁说了算？,[美]迈克尔·S.加扎尼加（Michael S. Gazzaniga）
理解航天,Jerry Jon Sellers
为什么有的人特別招蚊子?,[美]罗布•奈特
物种起源,周建人
不可不知的人体,[英]约翰·范登／著
性,[美]凯莉·威尔奇
它们没大脑，但它们有智能,[意]斯特凡诺·曼库索
硅谷之谜,吴军
万物简史,严维明
穿越计算机的迷雾,李忠
经度,Dava Sobel
亿万年的孤独,汪洁
性史1926,张竞生
认识性学,[美] 威廉·L. 雅博
YOU：身体使用手册,兆彬
海，另一个未知的宇宙,刘永强
情绪的解析,保罗·艾克曼
普林斯顿数学指南（第一卷）,[英] Timothy Gowers
元素的故事,(苏联)依·尼查叶夫
病玫瑰,理查.巴奈特(Richard Barnett)
数：科学的语言,（美）T・丹齐克
控制论,[美] 维纳
宇宙秘密：阿西莫夫谈科学,吴虹桥
黑石头的爱与恨：煤的故事,[美] 巴巴拉• 弗里兹
我们人类的宇宙,[英] 克里斯托弗·波特
穿越计算机的迷雾（第2版）,李忠
数学与生活（修订版）,[日] 远山启
本书书名无法描述本书内容,未读
魔鬼出没的世界,李大光
精子战争,李沛沂
一天中的百万年,[英] 格雷格·詹纳
你是你吃出来的,夏萌
狗的家世,康拉德·洛伦茨
第三种猩猩,王道还
眾神的植物,理查.伊文斯.舒爾茲(Richard Evans Schultes)
用数学的语言看世界,大栗博司 (Hirosi Ooquri)
费曼讲物理,秦克诚
机器人叛乱,吴宝沛
味覺獵人,Barb Stuckey
寂静的春天,许亮
博物学家的神秘动物图鉴,[法] 让-巴普蒂斯特·德·帕纳菲厄 著
人工智能的进化,[加] 赫克托·莱韦斯克
批评中医,中医新世纪大论战
野外鸣虫图鉴,[日] 濑长刚
牛顿的苹果,[美]罗纳德·纳伯斯（Ronald Numbers）
人类砍头小史,[英]弗朗西斯·拉尔森
天体写真,(英) 罗德里·埃文斯
行星全书,[美] 尼尔马拉·纳塔瑞杰
沐猿而冠,汉唐阳光人文图书
飞机的历史,[日] 山本忠敬
科学百科,王晋
死者在说话,威廉姆.R.美普斯
崔玉涛：宝贝健康公开课,崔玉涛
冷浪漫,科学松鼠会
科学究竟是什么,A.F.查尔默斯
从掷骰子到阿尔法狗：趣谈概率,张天蓉
数学简史,蔡天新
大脑使用指南,赵思家
机器之心,胡晓姣
潜意识,赵崧惠
气象学与生活,弗雷德里克·K.鲁特更斯 (Frederick K.Lutgens)
大爆炸简史,王文浩
美国科学·地球科学·一年级,[美] 蒂莫西·库尼 等著
The Selfish Gene,RichardDawkins
一个定理的诞生,[法]塞德里克·维拉尼  著
大师说科学与哲学,海因茨•R.帕格尔斯 (Heinz R.Pagels)
伊甸园之河,王直华 岳韧锋
数学女孩2,丁 灵
世界觀,理察.迪威特(Richard DeWitt)
师从天才,罗伯特·卡尼格尔
无器械健身,马克·劳伦
不可能的物理,合众科学译丛
数学（第一卷）,[俄] A. D. 亚历山大洛夫 等
寻找薛定谔的猫,[英] 约翰·格里宾
布罗卡的脑,张世满
顾中一：我们就该这样吃,顾中一
写在基因里的食谱,加里·保罗·纳卜汉
魔鬼物理学2：迷人又有趣的量子力学,[美] 詹姆斯 • 卡卡里奥斯
乐之本事,焦元溥
小顾聊绘画·贰,小顾聊绘画
逝者证言,秦明
普林斯顿恐龙大图鉴,[美] 格雷戈里·S·保罗
科学哲学,奥卡沙
好奇心杂货铺,汤姆·斯丹迪奇
蚂蚁的故事,[德] 贝尔特·荷尔多布勒
像人类学家一样思考,[美] 约翰·奥莫亨德罗 (John Omohundro)
怪诞行为学,赵德亮
猫头鹰探长②火焰岛的女王,伊雁声
引力波,珍娜·莱文
GEB——一条永恒的金带,乐秀成 编译
DK机械运转的秘密 动物园大逃亡！,大卫·麦考利 (David Macaulay)
科学的历程（修订第4版）,吴国盛
联结：通向未来的文明史,[英] 詹姆斯·伯克
共病时代,[美]芭芭拉·纳特森-霍格威茨
图解物联网,［ 日］ NTT DATA集团
锈蚀,[美] 乔纳森·瓦尔德曼
数理统计学简史,陈希孺
狗的家世,胡小兵
量子之谜,[美] 布鲁斯·罗森布鲁姆
时蔬小话,自然感悟
想透彻,[美] 夸梅·安东尼·阿皮亚
亚当夏娃在拂晓,[美]克里斯托弗•莱恩（Christopher Ryan）
图解密码技术（第3版）,周自恒
胆小别看画 2,[日] 中野京子（Nakano Kyoko）
数学也荒唐,[法] 杰罗姆·科唐索
数学简史,[美]莫里斯·克莱因
第三次浪潮,[美]阿尔文·托夫勒
古典音乐说明书,[日] 饭尾洋一
手術劇場,理查.巴奈特(Richard Barnett)
幸运的宇宙,[澳]杰兰特•刘易斯
宝宝睡眠全书,希瑟•特金   朱莉•賴特
写给全人类的数学魔法书,[日] 永野裕之
形而上学与西方思维,谢文郁
缤纷的生命,[美]爱德华·威尔逊
安迪历险记,诸川汇
功能性化妆品,Zone Dina Draelos MD
未来世界的幸存者,阮一峰
基因中的人类简史,[澳]克里斯廷·肯奈利
数学家的眼光,张景中
鲜花帝国,[美] 艾米•斯图尔特
相对论,经典通读
你的第一本哲学书,新思·思想家
蚂蚁之美,冉浩
宇宙之书,李剑龙
语言本能,洪兰
猿形毕露,[美]弗朗斯·德瓦尔（Frans de Waal）
链接,沈华伟
陶瓷简史,有泉
潮汐,[美] 乔纳森·怀特
The Book of Why,Judea Pearl
经济为什么会崩溃,胡晓姣
思维的发现,迈克尔•刘易斯 (Michael Lewis)
法醫.屍體.解剖室. 3: 重返犯罪現場,葉品岑
了不起的昆虫,（日）丸山宗利
清单人生,果麦文化
世界科学技术通史,麦克莱伦第三
我是谁？,[德]理查德•大卫•普列斯特（Richard David Precht）
生命的未来,[美] J.Craig Venter
笛卡尔的错误,安东尼奥·R.达马西奥
物理学与生活,W. 托马斯.格瑞福斯 (W. Thomas Griffith)
人类的误测,[美] 斯蒂芬•杰伊•古尔德(Stephen Jay Gould)
火星,[法]弗朗西斯•罗卡尔
经济学百科,英国DK出版社
海,[德] 弗兰克·施茨廷
认知尺度,魏坤琳
人体,帕克 (Steve Parker)
生存手册,李斌
如果历史是一群喵·春秋战国篇,肥志
珍爱生命,刘文利 编
海底两万里,[法] 儒勒·凡尔纳
费曼讲演录,王文浩
生物心理学,[美]詹姆斯·卡拉特
折纸设计的秘密 折纸模型中的数学世界,Thomas Hull
心灵的未来,伍义生
地球的主人,[美]伊恩·塔特索尔
云与大气现象,张超
半小时漫画中国史（修订版）,二混子
走神的艺术与科学,[新西兰] 迈克尔·C.科尔巴里斯
岩石与矿物,（英）佩兰特
希利尔讲世界地理,希利尔（V.M.Hillyer）
我们何以成为后人类,[美] N.凯瑟琳·海勒
带我去太空,[美] 罗恩·米勒
"法醫.屍體.解剖室. 2, 謀殺診斷書",道格拉斯.萊爾(Douglas P. Lyle)
隐匿的宇宙,[日]村山齐（Hitoshi Murayama）
科学的极致：漫谈人工智能,集智俱乐部
数学传奇,蔡天新
我的收藏,[日]盛口满
致命元素,毕小青
生物学思想发展的历史,恩斯特·迈尔
这才是最好的数学书（全两册）,[日]笹部贞市郎
生命,[美] 约翰·布罗克曼
图说西方建筑简史,(日) 佐藤达生
DNA：生命的秘密,[美]詹姆斯·沃森  安德鲁·贝瑞
梳毛、八卦及语言的进化,[英] 罗宾·邓巴
时间简史,吴忠超
计算进化史,[法] 吉尔·多维克
啊哈!算法,啊哈磊
假设的世界,[日]竹内薰
理性乐观派,闾佳
费恩曼物理学讲义（第1卷）,R.P.Feynman
创新者,[美] 沃尔特·艾萨克森
梦溪笔谈,张富祥 注释
话/镜,[以] 盖伊·多伊彻
让大脑自由,约翰•梅迪纳
人工智能简史,尼克
人类学+：科学的B面,眠眠
他们应当行走,[美]戴维•M. 奥辛斯基（David M. Oshinsky）
地下水下,[波兰] 亚历山德拉·米热林斯卡
游隼,[英] J.A.贝克
魔鬼物理学1：隐藏在日常生活背后的物理学知识,[美] 詹姆斯 • 卡卡里奥斯
Where the Animals Go,James Cheshire
超级智能,尼克•波斯特洛姆 (Nick Bostrom)
最好的抉择,[ 美]杰尔姆•格罗普曼（Jerome Groopman）
生命之源,尼克‧連恩(Nick Lane)
Hello World,Hannah Fry
蜜蜂,[波兰] 沃依切赫·格拉伊科夫斯基 文
基因社会,以太·亚奈
半小时漫画世界史,陈磊（笔名：二混子）
A Short History of Nearly Everything,BillBryson
大便通,[日]辨野义己
逼近的瘟疫,[美]劳里·加勒特
双脑记,[美] 迈克尔·加扎尼加
改变一切,理想国
知觉之门,庄蝶庵
舌尖上的历史,杨雅婷
费恩曼物理学讲义（第2卷）,Richard P. Feynman
世界简史,[澳]杰弗里·布莱内(Geoffrey Blainey)
计算机：一部历史,[英] 彼得·本特利
到长安去:汉朝简牍故事集,左丘萌 著
决策与判断,[美]斯科特·普劳斯
时间简史,史蒂芬·霍金
园艺植物的拉丁名,[英]洛兰·哈里森( Lorraine Harrison )
Brief Answers to the Big Questions,Stephen Hawking
天真的人类学家,何颖怡
新量子世界,安东尼·帕特里克·沃尔特斯
西尔斯亲密育儿百科,[美] 威廉·西尔斯
KK三部曲,张行舟
The Psychology Book,Nigel Benson
鲸背月色,[美] 戴安娜·阿克曼
Origin Story,David Christian
为什么E=mc2,布莱恩·阔克斯
哈尔罗杰历险记(全套共14册),WillardPrice
斯坦福高效睡眠法,西野精致
太空美术简史,(美)罗恩·米勒
神经外科的黑色喜剧,吴程远
人格心理学,Jerry M. Burger
人类“吸猫”小史,[英] 艾比盖尔·塔克
惊人的假说,（英）弗朗西斯·克里克
图解密码技术,周自恒
神祇、陵墓与学者,(德) 策拉姆
Powerful Sleep,Kacper M. Postawski
网络,[意] 圭多·卡尔达雷利
海蒂怀孕大百科,海蒂·麦考夫 莎伦·梅泽尔
人类的终极命运,(英) 乔治·扎卡达基斯
托马斯微积分,芬尼
知中·中国茶的基本,罗威尔 主编
铁道之旅,[德]沃尔夫冈•希弗尔布施（Wolfgang Schivelbusch）
初识传播学（插图第7版）,[美]埃姆·格里芬（Em Griffin)
哲学 科学 常识,陈嘉映
数学与猜想（第一卷）,李心灿
思维,(美)约翰•布罗克曼
真实世界的脉络,梁焰
天文之书,[美] Jim Bell
法律常识全知道,春之霖
生活中的心理学-牛津通识读本,[英] 吉莉恩•巴特勒 弗雷达•麦克马纳斯
我们为什么要合作,迈克尔·托马塞洛 (Michael Tomasello)
莎士比亚、牛顿和贝多芬,第一推动丛书
种子的故事,[英]乔纳森•西尔弗顿
边缘奇迹,于渌
科学革命,[美国] 劳伦斯•普林西比
平面几何中的小花,单墫
流浪地球,刘慈欣
《给孩子讲中国地理》（全14册）,张百平
疯狂人体进化史,史钧
隐秩序,约翰 H. 霍兰
认知迭代,【英】卡罗琳•威廉姆斯 著
一個數學家的嘆息,保羅·拉克哈特
树的秘密生命,[德国] 彼得·渥雷本 Peter Wohlleben
爱因斯坦的玩具：探寻宇宙和引力的秘密,张礼
人类的荣耀,[美] 迈克尔·加扎尼加（Michael S. Gazzaniga
意志力,[美] 罗伊·鲍迈斯特
亿亿万万,[美]卡尔·萨根
性别战争,杜然
连接组：造就独一无二的你,[美] 承现峻
大脑与文化（精装本）,[美］布鲁斯·E. 韦克斯勒（ Bruce E. Wexler）著
理性之谜,(法) 雨果·梅西耶
生活中的经济学,茅于轼
陶哲轩教你学数学,[澳] 陶哲轩
地球与太空：美国宇航局珍贵摄影集,尼尔马拉·纳塔瑞杰
小鸡鸡的故事,(日)山本直英 文
乳房的故事,(日)土屋麻由美 文
记忆-牛津通识读本,[澳大利亚] 乔纳森•福斯特
科学革命的结构,[美]托马斯·库恩
知识大融通,[美] 爱德华·威尔逊
什么是数学：对思想和方法的基本研究（第四版）,R·柯朗；H·罗宾；I·斯图尔特等
普林斯顿数学指南（第二卷）,[英] Timothy Gowers
宇航员地球生活指南,【加】克里斯·哈德菲尔德
虚数的故事,（美）纳欣
卑微的套套,姜玢
肥志百科,肥志
日用器具进化史,[美] 亨利·波卓斯基
勾勒姆医生,[英] 哈里·柯林斯
奇妙的尘埃,[美] 汉娜·霍姆斯
撼动世界史的思想家格斗,[日]茂木诚
地球的法则,叶富华
细菌小不点儿人体历险记,[德] 西比勒·莫特尔·林克 文
大英博物馆世界简史（精装典藏版）,余燕
温度，决定一切,沙格瑞 (Gino Segre)
